2023-06-14 16:36:50.561 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2023-06-14 16:36:51.137 [main] INFO  c.s.SpaceX.config.CorsConfig - cors config enable
2023-06-14 16:36:51.935 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - Started SpringBootWebStarterApplicationTests in 1.884 seconds (process running for 2.451)
2023-06-14 16:36:52.449 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.shoxiongdu.SpaceX.mapper.UserMapperTest]: UserMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-06-14 16:36:52.453 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.shoxiongdu.SpaceX.SpringBootWebStarterApplication for test class cn.shoxiongdu.SpaceX.mapper.UserMapperTest
2023-06-14 16:36:52.487 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-06-14 16:36:52.807 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5694f6a0
2023-06-14 16:36:52.808 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-06-14 16:36:52.902 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-06-14 16:36:52.918 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-06-14 16:37:22.355 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.shoxiongdu.SpaceX.SpringBootWebStarterApplicationTests]: SpringBootWebStarterApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-06-14 16:37:22.405 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.shoxiongdu.SpaceX.SpringBootWebStarterApplication for test class cn.shoxiongdu.SpaceX.SpringBootWebStarterApplicationTests
2023-06-14 16:37:22.574 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-06-14 16:37:22.589 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - Starting SpringBootWebStarterApplicationTests using Java 17.0.6 with PID 96566 (started by dushaoxiong in /Users/dushaoxiong/code/Idea/SpaceX)
2023-06-14 16:37:22.589 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - The following 1 profile is active: "HWCloud"
2023-06-14 16:37:22.942 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-06-14 16:37:22.943 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-06-14 16:37:22.963 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2023-06-14 16:37:23.373 [main] INFO  c.s.SpaceX.config.CorsConfig - cors config enable
2023-06-14 16:37:24.261 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - Started SpringBootWebStarterApplicationTests in 1.798 seconds (process running for 2.38)
2023-06-14 16:37:24.754 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.shoxiongdu.SpaceX.mapper.UserMapperTest]: UserMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-06-14 16:37:24.759 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.shoxiongdu.SpaceX.SpringBootWebStarterApplication for test class cn.shoxiongdu.SpaceX.mapper.UserMapperTest
2023-06-14 16:37:24.796 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-06-14 16:37:25.142 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@68aa1164
2023-06-14 16:37:25.143 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-06-14 16:37:25.221 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-06-14 16:37:25.236 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-06-14 16:37:55.137 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.shoxiongdu.SpaceX.SpringBootWebStarterApplicationTests]: SpringBootWebStarterApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-06-14 16:37:55.190 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.shoxiongdu.SpaceX.SpringBootWebStarterApplication for test class cn.shoxiongdu.SpaceX.SpringBootWebStarterApplicationTests
2023-06-14 16:37:55.368 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-06-14 16:37:55.383 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - Starting SpringBootWebStarterApplicationTests using Java 17.0.6 with PID 96794 (started by dushaoxiong in /Users/dushaoxiong/code/Idea/SpaceX)
2023-06-14 16:37:55.383 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - The following 1 profile is active: "HWCloud"
2023-06-14 16:37:55.766 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-06-14 16:37:55.768 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-06-14 16:37:55.784 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2023-06-14 16:37:56.200 [main] INFO  c.s.SpaceX.config.CorsConfig - cors config enable
2023-06-14 16:37:56.990 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - Started SpringBootWebStarterApplicationTests in 1.74 seconds (process running for 2.316)
2023-06-14 16:37:57.476 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.shoxiongdu.SpaceX.mapper.UserMapperTest]: UserMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-06-14 16:37:57.479 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.shoxiongdu.SpaceX.SpringBootWebStarterApplication for test class cn.shoxiongdu.SpaceX.mapper.UserMapperTest
2023-06-14 16:37:57.510 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-06-14 16:37:57.799 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@25fc2b8f
2023-06-14 16:37:57.800 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-06-14 16:37:57.875 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-06-14 16:37:57.888 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
